官網名稱,介紹,用途,建議售價,圖片連結
強健頭皮洗髮露,活絡頭皮 深度滋養,深入清潔淨化問題頭皮，使秀髮恢復柔軟光澤感。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL：
https://drive.google.com/file/d/1rv3b3aqGxEMvzg_NTRSH4sb6LhylP8pL/view?usp=sharing
500mL：
https://drive.google.com/file/d/1yra94IPk5QqjaRCgugOl8dy_97uJTfWG/view?usp=sharing
750mL：
https://drive.google.com/file/d/1hO8FR_93doOMBoiBYzFyHNCh7QqGzLCn/view?usp=sharing"
男士養髮液,滋養頭皮 澄透魅力,滋潤調理頭皮髮根，增添自信魅力風采。,70mL/TWD2500,https://drive.google.com/file/d/1WecKLAkmtATaqnl7yrMVvAr4TDQ7KxXp/view?usp=sharing
女士養髮液,滋潤頭皮 迷人氣場,滋潤調理頭皮髮根，增添精緻迷人光采。,70mL/TWD2500,https://drive.google.com/file/d/1-yTkPEUt_RR4ov0Ks0L9NKJJeJPwmYHK/view?usp=sharing
咖啡因養髮液,強健髮根 甦醒美麗,活絡頭皮健康，打造良好養髮環境，滋養髮根強韌健康，徹底破解所有頭髮問題，激活秀髮甦醒美麗。,"100mL/TWD5000
50mL/TWD3300
10mL/TWD1000","100mL:
https://drive.google.com/file/d/134QMlaaMdJOQHmD-Ys3X3ORw8vtZp3U8/view?usp=sharing
50mL:
https://drive.google.com/file/d/14kr36kN_KVYKu3YX-ztfZC61a0Ae_EO3/view?usp=sharing
10mL:
https://drive.google.com/file/d/1pWH-DNeCTWd7HdBkZLbiW2NpF6aHKQ8K/view?usp=sharing"
咖啡因麥拉寧養髮液,不染髮的黑科技,一次解決兩大頭髮根本問題，富含獨家天然椰棗萃取麥拉寧成分，強健髮根深入頭皮肌膚高效抵禦老化因子，養髮同時回復秀髮年輕光采。,"100mL/TWD6000
50mL/TWD3900
10mL/TWD1100","100mL:
https://drive.google.com/file/d/1yIWL9MLKWrMcagfUZBoPW1jcjUY7TvSX/view?usp=sharing
50mL:
https://drive.google.com/file/d/14kr36kN_KVYKu3YX-ztfZC61a0Ae_EO3/view?usp=sharing
10mL:
https://drive.google.com/file/d/1pWH-DNeCTWd7HdBkZLbiW2NpF6aHKQ8K/view?usp=sharing"
豐盈彈韌洗髮露,清爽蓬鬆 豐盈彈潤,清爽溫和洗淨髮絲，賦予髮根彈力支撐，全方位綻放秀髮豐厚蓬鬆。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL:
https://drive.google.com/file/d/1q_ErFPxsBmFdqvKbMjzTlhDCkog91eXs/view?usp=sharing
500mL:
https://drive.google.com/file/d/1n9lQqqu2IWHLhqR-2XXRW4vvwZQ5zOTs/view?usp=sharing
750mL:
https://drive.google.com/file/d/1EFi21rXP8SA5c39XgfPcWrnZl98DToGb/view?usp=sharing"
輕盈髮妝水,,撫平毛躁髮絲，輕盈細緻秀髮，為髮絲注入水分，維持長效保濕，讓秀髮柔順水潤。,220mL/TWD1200,https://drive.google.com/file/d/11FZs3KR425LyEGjocG9RbM6FbIlU6EgP/view?usp=sharing
豐盈彈韌調理精華,清爽蓬鬆 豐盈彈潤,幫助髮絲補充水份，輕鬆重塑髮型，綻放秀髮彈韌蓬鬆。,220mL/TWD1600,https://drive.google.com/file/d/1Uh6T3PMk_BoSECzeHgiSw5qXmyNMJQNr/view?usp=sharing
豐盈彈韌護髮素,清爽蓬鬆 豐盈彈潤,,250mL/TWD1500,https://drive.google.com/file/d/1un9Ys076EeSEh-n-EOQ3F9szvZEsMd_U/view?usp=sharing
豐盈彈韌精華油,清爽蓬鬆 豐盈彈潤,輕盈質地，賦予髮絲彈力支撐，提供秀髮水潤光澤感，重現蓬鬆柔順髮質。 ,"70mL/TWD1300
10mL/TWD300
750mL/TWD9600","70mL
https://drive.google.com/file/d/1cXjTevPcgPcSBmbCmg0_jfQVhZCckJvf/view?usp=sharing
10mL
https://drive.google.com/file/d/1z1f1EL82NneMJbwQ4QZ8dnXMnVu1VkTc/view?usp=sharing
750mL
https://drive.google.com/file/d/18r6ahGTV-IJMgtppshOfpSlqpmNBAWf3/view?usp=sharing"
結構修護洗髮露,滲透修護 結構強韌,柔和潔淨髮絲，修護毛躁糾結，強韌髮質結構改善斷裂，展現自然柔順亮澤的絲滑觸感。,"260mL/TWD1300
500mL/TWD2200
","260mL
https://drive.google.com/file/d/1qgfCJJl0-3A49Tt9y_Kaq2prnxtFghig/view?usp=sharing
500mL
https://drive.google.com/file/d/1VD95jP-WldOsBx79Ae8lOvK_eAhNBoOB/view?usp=sharing
"
結構修護精華乳,滲透修護 結構強韌,快速深入髮絲，修護毛躁糾結，強韌髮質結構改善斷裂，展現自然亮澤的柔順秀髮。,"70mL/TWD1300
750mL/TWD9600","70mL
https://drive.google.com/file/d/1uXTSIvLa_Nj_uKy5pkztgOKWIzYYlywd/view?usp=sharing
750mL
https://drive.google.com/file/d/1IIfgRX2vZfbuc33K7WkF_uNEGDGp0HKa/view?usp=sharing"
結構修護護髮素,滲透修護 結構強韌,快速深入髮絲，修護毛躁糾結，強韌髮質結構改善斷裂，展現自然亮澤的柔順秀髮。,250mL/TWD1500,https://drive.google.com/file/d/1f8JPjqNk8RiedulYQXZ0WFXwf_MgNPOJ/view?usp=sharing
染燙護色洗髮露,潤澤護色 柔順煥彩,溫和潔淨髮絲，超導保濕滲透，撫平頭髮鱗片，鎖住秀髮光澤持色力。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL
https://drive.google.com/file/d/1y6tQ41m3a3hwfUwCNmkdlk_SujiN5lC-/view?usp=sharing
500mL
https://drive.google.com/file/d/1BsbbcLA9LMXwXOCVzv1mc2bAnBE485WR/view?usp=sharing
750mL
https://drive.google.com/file/d/1SxOVPXSXNf6XUZTwoK7-4hv0v0stznfC/view?usp=sharing"
染燙護色護髮素,潤澤護色 柔順煥彩,針對漂染燙受損髮專屬設計，超導保濕滲透，鎖住秀髮光澤持色力。,250mL/TWD1500,https://drive.google.com/file/d/1aQz_d53xCfzeF6xjsCuNa2DhOX_MgJIX/view?usp=sharing
染燙護色精華油,潤澤護色 柔順煥彩,針對漂染燙受損髮專屬設計，修護，隔絕高溫保護髮絲。,"70mL/TWD1300
10mL/TWD300
750mL/TWD9600","70mL
https://drive.google.com/file/d/1FKdvJ_LmYeJ1-DMPtbebc-rU28dviX5h/view?usp=sharing
10mL
https://drive.google.com/file/d/1kQhDxKMuqEnmo5_9E6PWva3uUDV9oG9r/view?usp=sharing
750mL
https://drive.google.com/file/d/1OlkiOsLV8YXd1kvXu4tnMlNbPCa6qxKI/view?usp=sharing"
濃縮咖啡因養髮洗髮露,濃縮升級 強健髮根,天然咖啡因與植萃修護配方，活絡頭皮、滋養髮根，展現蓬鬆彈性的健康髮感。,"260mL/TWD1300
500mL/TWD2200
750mL/TWD2200","260mL
https://drive.google.com/file/d/1BskfFL-LzmuXU1OUinavwU3NeJHF6zdF/view?usp=sharing
500mL
https://drive.google.com/file/d/1Bs8hmr8SUfUpm_kk6b8W_4CZJDYYffiZ/view?usp=sharing
750mL
https://drive.google.com/file/d/1DzUPz580ulhc6GNtmMvOcZZOt-Pk_N21/view?usp=sharing"
沁涼控油頭皮噴霧,沁涼舒緩 控油調理,調理舒暢頭皮清新沁涼。,"60mL/TWD450
750mL/TWD4500","60mL
https://drive.google.com/file/d/1yjys5EUtKyBh1zW7wGfB2p6ZVeC5Nq3g/view?usp=sharing
750mL
https://drive.google.com/file/d/1r5lSjb8ul_hnLHF8sOz_brN7u_yFO9S4/view?usp=sharing"
舒活抗菌頭皮噴霧,舒活頭皮 抗菌淨化,調理淨化頭皮維持健康。,"60mL/TWD450
750mL/TWD4500","60mL
https://drive.google.com/file/d/1ymFELUDB1-RhwdNaTy3LQnagL8CCZeAo/view?usp=sharing
750mL
https://drive.google.com/file/d/1r6Vx9ggTjJFYMnYgopsEjfmyZsaxokA7/view?usp=sharing"
BioAir強力造型噴霧,,打造秀髮專業線條與質感風格，天然咖啡因為頭皮注入活力，帶來自然持久的定型效果。,350mL,https://drive.google.com/file/d/1mDsM3ZhehnX52AWKTzB9rWIVGGLSFmSL/view?usp=sharing
4S植萃彈力造型油,彈力精質美感 柔亮有型,作為 4S 翎羽燙後的收尾打底，輕盈包覆髮絲，帶來彈性支撐與清晰捲度線條；呈現柔亮的絲緞光澤與俐落輪廓，同時維持輕盈不厚重的觸感。,70mL/TWD1300,https://drive.google.com/file/d/1OZ-1rCC7XTsX4uxuQIEBY44gUn15MQc5/view?usp=sharing
4S造型掌控乳,為4S強韌捲度而生，延續完美植萃掌控,提供髮絲強韌支撐，同時長效潤澤，有效改善乾燥毛躁。延續植萃完美掌控，讓秀髮提亮捲度更加立體。,160mL/TWD980,https://drive.google.com/file/d/14U96WFQLgpYzdF2Jz412rs2RUq6qtKY1/view?usp=sharing
O'right｜PRO 經典氣墊梳,,梳順髮絲，按摩頭部肌膚促進新陳代謝。,,https://drive.google.com/file/d/1DR16ko2ViLu6eEdgXFM-Ebu5FtPX8aMn/view?usp=sharing
PRO 1號香氛沐浴露,溫潤木質，淨衡緊緻,輕盈配方溫和包覆潔淨肌膚，維持肌膚油水平衡，幫助對抗環境傷害，提升外在防禦力。,"260mL/TWD900
500mL/TWD1500
750mL/TWD1500","260mL
500mL
https://drive.google.com/file/d/1IQPS-IkxSfQ49aw0TNzvABmqxiJvJceI/view?usp=sharing
750mL
https://drive.google.com/file/d/16cRxzka4LiB9kjgdEoTSMCR6upfRHCgj/view?usp=sharing"
PRO 2號香氛沐浴露,清新晨柚，柔嫩細緻,獨創配方輕柔潔淨肌膚，結合精選植物萃取賦予肌膚彈性，淡化細紋，讓肌膚重獲豐盈彈潤感。,"260mL/TWD900
500mL/TWD1500
750mL/TWD1500","260mL
https://drive.google.com/file/d/1FcPNm3Vk3xGXiY3UE2TEwjrrX7EEUum7/view?usp=sharing500mL
https://drive.google.com/file/d/1IBn4h1xxIrZee45fypio9Na84GPdBA7c/view?usp=sharing
750mL
https://drive.google.com/file/d/15BpwTZ876R1yc8gBgOMdU5TN50ZAX5Pj/view?usp=sharing"
PRO香水1號,,"前味：薰衣草、康乃馨、佛手柑
中味：迷迭香、丁香、百里香、月桂葉
後味：廣藿香、秘魯香脂",70mL/TWD5600,https://drive.google.com/file/d/1GYbd0s9mrxT13ABjVK2k1UpcL3XZ_oMh/view?usp=sharing
PRO香水2號,,"前味：柑橘、葡萄柚、佛手柑
中味：鼠尾草、鈴蘭花、茉莉花、雪松木
後味：麝香、琥珀、柏木",70mL/TWD5600,https://drive.google.com/file/d/1GaPnbZ7VUwnmRDG1NpAsKHabqYNPLPcr/view?usp=sharing
PRO香水3號,,"前 味：檸檬、蜜桃、甜李
中 味：玫瑰、紫羅蘭、蜂蜜
後 味：廣藿香、麝香、琥珀",70mL/TWD5600,https://drive.google.com/file/d/1GdS2Nzas48niDV2Yw6_57sUo6tMoV-ti/view?usp=sharing
PRO香水4號,,"前味：佛手柑、檸檬、粉紅胡椒、
中味：玫瑰、茉莉花、紫羅蘭、雪松木
後味：香根草、琥珀、麝香、廣藿香",70mL/TWD5600,https://drive.google.com/file/d/1GZimlexz-MHYF58AkjbK6A8WhFGb5RAN/view?usp=sharing
PRO香水5號,,"前味：梨子、萊姆、葡萄柚、香橙、冷杉葉
中味：玫瑰、茉莉、鈴蘭、椴樹花、依蘭依蘭
後味：檀香、雪松、琥珀、橡苔、麝香",70mL/TWD5600,https://drive.google.com/file/d/1zIDiV9kT4IokD17nnSeD6I6oJuoCechh/view?usp=sharing
舒活身體按摩油,,自然涼感，舒緩日常沈積的疲勞與不適。,220mL/TWD2200,https://drive.google.com/file/d/1nlOI03e9GD5BnMr7qbh5OPE3c2Q6cAKA/view?usp=sharing
靜謐舒緩按摩油,,潤澤肌膚，舒緩深層的壓力與不適。,220mL/TWD2200,https://drive.google.com/file/d/1Zxdhx6-GcawBr1Wa1WsS1DFIcFHN7KOG/view?usp=sharing
生薑按摩油,自然能量 舒緩疲憊,自然能量注入肌膚，微微溫感滋潤調理，舒緩壓力與疲憊感。,220mL/TWD2200,https://drive.google.com/file/d/1zkPl-GFOBgjet4oE__G-RVd9GuP1b-eR/view?usp=sharing
